act,pct,t,delta
STG,13,1401840000,300
SBF,20,1401840000,300
C_WCALS,0,1401840000,300
D_STBS_3,0,1401840000,300
C_CALS,6,1401840000,300
D_STBF_3,0,1401840000,300
D_SBF_3,4,1401840000,300
C_STEPS,7,1401840000,300
W,4,1401840000,300
STBF,1,1401840000,300
SBS,6,1401840000,300
D_STBS_2,0,1401840000,300
D_SBS_3,3,1401840000,300
STBS,1,1401840000,300
D_SBS_2,3,1401840000,300
D_SBF_2,3,1401840000,300
D_STBF_2,0,1401840000,300
C_STU,1,1401840000,300
SG,57,1401840000,300
C_DIST,6,1401840000,300
D_SBS_3,0,1401840300,300
C_WCALS,0,1401840300,300
SG,8,1401840300,300
D_STBS_2,3,1401840300,300
STG,76,1401840300,300
STBS,13,1401840300,300
D_STBS_3,11,1401840300,300
D_STBF_2,0,1401840300,300
STBF,1,1401840300,300
D_SBS_2,0,1401840300,300
C_CALS,9,1401840300,300
W,1,1401840300,300
SBS,1,1401840300,300
D_STBF_3,0,1401840300,300
SBS,6,1401840600,300
SG,93,1401840600,300
D_SBS_3,4,1401840600,300
C_CALS,6,1401840600,300
D_SBS_2,1,1401840600,300
SG,100,1401840900,300
C_CALS,9,1401840900,300
STG,4,1401841200,300
D_SBF_3,0,1401841200,300
C_STEPS,130,1401841200,300
SBS,3,1401841200,300
D_SBS_3,0,1401841200,300
W,34,1401841200,300
D_SBS_2,2,1401841200,300
C_STU,1,1401841200,300
SG,21,1401841200,300
C_WCALS,6,1401841200,300
C_CALS,11,1401841200,300
LF,17,1401841200,300
LR,19,1401841200,300
STBL,1,1401841200,300
D_SBF_2,0,1401841200,300
C_DIST,113,1401841200,300
SBF,1,1401841200,300
C_CALS,6,1401841500,300
LF,100,1401841500,300
LF,100,1401841800,300
C_CALS,6,1401841800,300
C_CALS,6,1401842100,300
LF,100,1401842100,300
LF,100,1401842400,300
C_CALS,6,1401842400,300
D_STBS_2,1,1401842700,300
SG,9,1401842700,300
C_CALS,12,1401842700,300
W,52,1401842700,300
D_STBS_3,3,1401842700,300
C_STU,2,1401842700,300
C_DIST,139,1401842700,300
STBF,2,1401842700,300
STG,25,1401842700,300
D_STBF_2,0,1401842700,300
D_SBF_2,0,1401842700,300
LF,5,1401842700,300
C_WCALS,8,1401842700,300
SBF,1,1401842700,300
D_SBF_3,1,1401842700,300
STBS,5,1401842700,300
D_STBF_3,2,1401842700,300
C_STEPS,160,1401842700,300
C_WCALS,1,1401843000,300
STBL,3,1401843000,300
W,7,1401843000,300
D_STBS_2,4,1401843000,300
STBS,24,1401843000,300
D_STBS_3,18,1401843000,300
C_CALS,4,1401843000,300
STBR,1,1401843000,300
C_DIST,9,1401843000,300
STG,64,1401843000,300
C_STEPS,10,1401843000,300
C_WCALS,0,1401843300,300
D_STBS_3,3,1401843300,300
STBL,1,1401843300,300
C_CALS,8,1401843300,300
D_STBS_2,3,1401843300,300
STBS,8,1401843300,300
STG,91,1401843300,300
D_STBS_3,4,1401843600,300
STBS,9,1401843600,300
W,1,1401843600,300
C_WCALS,0,1401843600,300
C_CALS,13,1401843600,300
D_STBS_2,2,1401843600,300
SG,1,1401843600,300
STG,89,1401843600,300
STBS,6,1401843900,300
D_STBS_2,1,1401843900,300
STBR,1,1401843900,300
C_CALS,8,1401843900,300
D_STBS_3,0,1401843900,300
STG,93,1401843900,300
STG,15,1401844200,300
C_CALS,8,1401844200,300
D_SBS_3,2,1401844200,300
D_SBS_2,0,1401844200,300
SBL,6,1401844200,300
SBS,5,1401844200,300
SG,73,1401844200,300
SG,7,1401844500,300
STBL,1,1401844500,300
C_RCALS,0,1401844500,300
STBS,44,1401844500,300
C_DIST,8,1401844500,300
C_STEPS,9,1401844500,300
D_STBS_3,17,1401844500,300
W,7,1401844500,300
C_WCALS,1,1401844500,300
STG,40,1401844500,300
C_STU,1,1401844500,300
D_STBS_2,18,1401844500,300
C_CALS,5,1401844500,300
D_STBS_3,31,1401844800,300
STBS,40,1401844800,300
STBL,6,1401844800,300
C_WCALS,0,1401844800,300
D_STBS_2,3,1401844800,300
STG,54,1401844800,300
C_CALS,9,1401844800,300
D_STBS_2,4,1401845100,300
STBS,22,1401845100,300
STG,52,1401845100,300
C_CALS,10,1401845100,300
W,2,1401845100,300
C_WCALS,0,1401845100,300
D_STBS_3,10,1401845100,300
STBL,25,1401845100,300
D_STBS_3,16,1401845400,300
STBL,26,1401845400,300
W,3,1401845400,300
C_CALS,7,1401845400,300
STG,44,1401845400,300
D_STBS_2,6,1401845400,300
C_WCALS,0,1401845400,300
STBS,28,1401845400,300
SBS,2,1401845700,300
SG,89,1401845700,300
D_STBS_3,1,1401845700,300
STBS,1,1401845700,300
D_STBS_2,0,1401845700,300
D_SBS_2,1,1401845700,300
STG,8,1401845700,300
C_CALS,7,1401845700,300
D_SBS_3,0,1401845700,300
STG,49,1401846000,300
D_SBS_2,0,1401846000,300
D_SBS_3,0,1401846000,300
W,1,1401846000,300
D_STBS_2,0,1401846000,300
D_STBS_3,1,1401846000,300
STBL,7,1401846000,300
C_CALS,6,1401846000,300
SG,39,1401846000,300
C_STU,1,1401846000,300
SBS,1,1401846000,300
STBS,3,1401846000,300
C_WCALS,0,1401846000,300
STBS,37,1401846300,300
D_STBF_3,3,1401846300,300
STG,48,1401846300,300
D_STBS_2,13,1401846300,300
C_CALS,11,1401846300,300
STBL,1,1401846300,300
W,9,1401846300,300
D_STBS_3,13,1401846300,300
C_STEPS,14,1401846300,300
SG,1,1401846300,300
D_STBF_2,0,1401846300,300
C_WCALS,1,1401846300,300
C_DIST,12,1401846300,300
STBF,3,1401846300,300
D_SBS_2,0,1401846600,300
W,1,1401846600,300
C_WCALS,0,1401846600,300
C_DIST,6,1401846600,300
SBS,3,1401846600,300
C_STEPS,7,1401846600,300
D_SBS_3,1,1401846600,300
C_CALS,8,1401846600,300
SG,96,1401846600,300
C_STU,1,1401846600,300
C_CALS,7,1401846900,300
SG,100,1401846900,300
SBS,1,1401847200,300
C_CALS,7,1401847200,300
D_SBS_3,0,1401847200,300
D_SBS_2,0,1401847200,300
SG,98,1401847200,300
D_SBS_2,3,1401847500,300
C_CALS,7,1401847500,300
D_SBS_3,2,1401847500,300
SBS,11,1401847500,300
SG,89,1401847500,300
STBS,11,1401847800,300
C_WCALS,4,1401847800,300
C_CALS,10,1401847800,300
STG,12,1401847800,300
D_SBF_2,0,1401847800,300
C_DIST,96,1401847800,300
SG,45,1401847800,300
C_STEPS,107,1401847800,300
D_STBS_3,5,1401847800,300
W,28,1401847800,300
D_SBF_3,0,1401847800,300
C_RCALS,1,1401847800,300
D_STBS_2,3,1401847800,300
C_STU,2,1401847800,300
R,2,1401847800,300
C_RDIST,14,1401847800,300
SBF,1,1401847800,300
C_RSTEPS,12,1401847800,300
C_WCALS,5,1401848100,300
D_SBS_3,0,1401848100,300
STBS,28,1401848100,300
D_SBS_2,1,1401848100,300
STG,37,1401848100,300
D_STBS_3,2,1401848100,300
C_CALS,7,1401848100,300
D_STBS_2,6,1401848100,300
C_STU,1,1401848100,300
W,24,1401848100,300
SBS,7,1401848100,300
C_DIST,74,1401848100,300
SG,3,1401848100,300
C_STEPS,84,1401848100,300
C_WCALS,1,1401848400,300
D_STBS_2,24,1401848400,300
C_STEPS,12,1401848400,300
D_STBS_3,6,1401848400,300
STG,33,1401848400,300
W,5,1401848400,300
C_DIST,10,1401848400,300
STBS,63,1401848400,300
C_CALS,11,1401848400,300
STBS,3,1401848700,300
C_DIST,132,1401848700,300
W,34,1401848700,300
C_WCALS,7,1401848700,300
STG,42,1401848700,300
D_STBS_2,0,1401848700,300
C_STEPS,152,1401848700,300
D_STBS_3,0,1401848700,300
D_SBS_2,0,1401848700,300
D_STBF_2,0,1401848700,300
SBS,19,1401848700,300
STBF,1,1401848700,300
D_SBS_3,19,1401848700,300
STBL,1,1401848700,300
D_STBF_3,0,1401848700,300
C_CALS,11,1401848700,300
D_SBS_3,14,1401849000,300
LB,86,1401849000,300
C_CALS,6,1401849000,300
D_SBS_2,0,1401849000,300
SBS,14,1401849000,300
SBS,8,1401849300,300
SG,88,1401849300,300
C_CALS,9,1401849300,300
SBL,1,1401849300,300
D_SBS_2,0,1401849300,300
D_SBS_3,8,1401849300,300
LB,2,1401849300,300
D_STBS_3,7,1401849600,300
STBF,3,1401849600,300
STG,40,1401849600,300
C_WCALS,0,1401849600,300
W,1,1401849600,300
D_STBF_2,0,1401849600,300
C_CALS,6,1401849600,300
STBS,17,1401849600,300
C_STU,1,1401849600,300
D_STBF_3,0,1401849600,300
D_STBS_2,1,1401849600,300
C_DIST,8,1401849600,300
SG,40,1401849600,300
C_STEPS,9,1401849600,300
SBF,1,1401849900,300
SG,98,1401849900,300
D_SBF_3,0,1401849900,300
C_CALS,10,1401849900,300
D_SBF_2,0,1401849900,300
SG,100,1401850200,300
C_CALS,6,1401850200,300
