id,Date,Time,type,steps,distance
2079127134,2014-07-11,11:24:55,steps,2745,2027.7314453125,
2037957576,2014-07-10,23:22:42,steps,7640,5638.982757568359,
2038411475,2014-07-09,21:46:35,steps,11474,8474.67529296875,
2013363257,2014-07-08,22:04:56,steps,9014,6657.410888671875,
1978701224,2014-07-07,22:36:47,steps,11616,8578.275146484375,
1983860842,2014-07-06,23:11:46,steps,9244,6828.5439453125,
2000808110,2014-07-05,23:05:35,steps,11685,8617.73486328125,
1970601557,2014-07-04,23:55:54,steps,7376.95947265625,5446.7470703125,
1970797702,2014-07-03,23:59:38,steps,11289,8338.4921875,
1981317283,2014-07-02,22:14:31,steps,7800,5757.0616455078125,
1940597582,2014-07-01,23:27:29,steps,9921,7325.711181640625,
1893456892,2014-06-30,23:59:58,steps,9018,6660.19140625,
1937494499,2014-06-29,23:59:58,steps,9050,6683.30029296875,
1901571766,2014-06-28,23:52:02,steps,24,17.72879981994629,
1907787722,2014-06-29,12:03:54,steps,2637,1947.213279724121,
1919704010,2014-06-28,23:43:38,steps,2133,1567.0861053466797,
1920098917,2014-06-27,23:56:23,steps,3953,2887.2638549804688,
1919169031,2014-06-26,23:50:38,steps,3906,2883.061996459961,
1916854668,2014-06-25,23:20:31,steps,5042,3707.810592651367,
1895111248,2014-06-24,23:00:30,steps,5952,4395.9306640625,
1904197719,2014-06-23,22:09:03,steps,6253,4618.69091796875,
1903707601,2014-06-22,23:18:35,steps,5721.97998046875,4226.40087890625,
1893407869,2014-06-21,23:49:14,steps,12723.0556640625,9387.98291015625,
1898068824,2014-06-20,23:54:18,steps,10311,7615.927734375,
1895227476,2014-06-19,23:53:46,steps,3577,2641.4765625,
1829955185,2014-06-18,23:59:38,steps,5370,3965.822265625,
1898408762,2014-06-17,23:56:58,steps,6852,5060.6708984375,
1874068365,2014-06-16,23:55:22,steps,5417,4000.76416015625,
1849682677,2014-06-15,23:59:06,steps,3800,2795.26171875,
1901607489,2014-06-14,23:59:38,steps,2776,2050.630126953125,
1774608060,2014-06-07,00:27:12,steps,337,245.24853515625,
1766167097,2014-06-06,23:59:28,steps,10085,7449.78369140625,
1730944783,2014-06-05,18:53:31,steps,8866,6543.40234375,
1758647445,2014-06-04,22:52:27,steps,8221,6072.85302734375,
1712897379,2014-06-03,23:45:47,steps,8969,6624.386999607086,
1704387118,2014-06-02,20:35:27,steps,8518,6291.605285644531,
1679227055,2014-06-01,23:56:48,steps,4826,3563.119659423828,
1685509151,2014-05-31,20:53:59,steps,7666,5660.821228027344,
1673399273,2014-05-30,23:58:46,steps,9533,7037.85302734375,
1647900324,2014-05-29,23:06:58,steps,9887,7296.29052734375,
1636989952,2014-05-28,23:32:26,steps,10746,7937.65576171875,
1626097372,2014-05-27,20:56:00,steps,2120.3690185546875,1565.898193359375,
1616127857,2014-05-26,20:39:03,steps,14065,10373.285278320312,
1620408441,2014-05-25,23:57:03,steps,12240,9040.8125,
1598808432,2014-05-24,23:58:39,steps,12540,9262.573659420013,
1597333613,2014-05-23,23:56:31,steps,4635,3415.693499803543,
1583407238,2014-05-22,23:29:00,steps,6808,5023.8775634765625,
1531164718,2014-05-21,23:58:23,steps,4109,3034.6327514648438,
1564997315,2014-05-20,21:02:49,steps,15893.359375,11739.6640625,
1588538307,2014-05-19,23:51:11,steps,7971,5887.25390625,
1582978240,2014-05-18,23:59:11,steps,11369,8355.955078125,
1565715648,2014-05-17,23:59:43,steps,9712,7133.412109375,
1562219712,2014-05-16,23:59:43,steps,9551,7054.31640625,
1580889192,2014-05-15,23:58:39,steps,2168,1600.76611328125,
1542435783,2014-05-14,23:59:43,steps,7393,5460.484130859375,
1580598810,2014-05-13,23:57:03,steps,2166,1600.0262451171875,
1463029240,2014-05-09,18:11:36,steps,3405.507537841797,2514.8152770996094,
1478100292,2014-05-08,22:46:54,steps,4163,3074.537109375,
1474507293,2014-05-07,23:18:07,steps,3697,2728.6375732421875,
1460817542,2014-05-06,22:38:08,steps,7013,5180.11669921875,
1455147094,2014-05-05,21:20:02,steps,4047,2987.8446006774902,
1444579480,2014-05-04,23:12:08,steps,7108,5249.962158203125,
1453347144,2014-05-03,21:22:40,steps,7465,5513.3489990234375,
1446353303,2014-05-02,22:48:25,steps,6034,4443.426208496094,
1435884903,2014-05-01,23:18:20,steps,5246,3865.845901489258,
1421248005,2014-04-30,23:31:18,steps,5069,3735.5350646972656,
1405422607,2014-04-29,22:58:59,steps,8057,5951.341799736023,
1412778198,2014-04-28,21:38:19,steps,16919.3046875,12496.818359375,
1412829889,2014-04-27,22:58:28,steps,4725,3489.0731201171875,
1411597150,2014-04-26,23:27:42,steps,10787,7967.0205078125,
1407167279,2014-04-25,23:52:17,steps,5116,3778.3624267578125,
1389417906,2014-04-24,23:38:30,steps,11247,8307.52880859375,
1375266500,2014-04-23,21:47:53,steps,3303,2439.92333984375,
1376733430,2014-04-22,22:13:22,steps,4971,3671.774169921875,
1355667964,2014-04-21,22:10:58,steps,5818,4297.16015625,
1368089053,2014-04-20,21:06:14,steps,6204,4543.435791015625,
1366934443,2014-04-19,23:59:32,steps,7884,5823.85546875,
1355104488,2014-04-18,21:08:25,steps,4371,3228.8564453125,
1352808998,2014-04-17,23:10:28,steps,6734,4973.35546875,
1348251589,2014-04-16,23:04:36,steps,5765,4257.1734619140625,
1342887283,2014-04-15,23:37:21,steps,4011,2957.477399945259,
1331302494,2014-04-14,20:36:51,steps,3112,2297.5687255859375,
1328573227,2014-04-13,22:41:10,steps,2584,1906.347396850586,
1327494425,2014-04-12,22:20:53,steps,4319,3187.664306640625,
1325131499,2014-04-11,23:53:31,steps,3955,2916.6482996940613,
1317196192,2014-04-10,20:28:27,steps,4174,3076.6904296875,
1323971800,2014-04-09,22:31:08,steps,8684,6414.1393394470215,
1315727734,2014-04-08,23:49:00,steps,5248,3874.3573112487793,
1306988895,2014-04-07,21:14:56,steps,7714,5697.029052734375,
1310937790,2014-04-06,21:34:11,steps,5657,4175.854064941406,
1301061970,2014-04-05,23:22:20,steps,3711.8848571777344,2740.012252807617,
1305717032,2014-04-04,22:48:20,steps,4862,3588.8596801757812,
1291830628,2014-04-03,22:54:37,steps,7195,5314.109375,
1283465045,2014-04-02,22:36:08,steps,6053,4470.3203125,
1262871103,2014-04-01,19:10:29,steps,6177,4561.849365234375,
1279356853,2014-03-31,23:14:48,steps,7359,5436.08935546875,
1280148732,2014-03-30,23:53:09,steps,4673,3443.81494140625,
1279970273,2014-03-29,23:35:52,steps,2829,2082.39599609375,
1280267188,2014-03-28,23:23:36,steps,4127,3042.7111206054688,
1271387387,2014-03-28,00:43:52,steps,973,718.0165405273438,
1264709865,2014-03-26,23:10:23,steps,710,524.47705078125,
1255603627,2014-03-25,21:51:59,steps,10201,7527.427734375,
