Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
6/13/14,transport,transport,2014-06-13T08:56:56-07:00,2014-06-13T09:06:45-07:00,589,1.600,0,0
6/13/14,walking,walking,2014-06-13T09:06:44-07:00,2014-06-13T09:12:15-07:00,331,0.198,438,0
6/13/14,transport,transport,2014-06-13T10:45:16-07:00,2014-06-13T10:55:04-07:00,588,1.886,0,0
6/13/14,transport,transport,2014-06-13T11:22:09-07:00,2014-06-13T12:05:00-07:00,2571,33.283,0,0
6/13/14,walking,walking,2014-06-13T12:09:27-07:00,2014-06-13T12:12:27-07:00,180,0.109,234,0
6/13/14,walking,walking,2014-06-13T13:53:52-07:00,2014-06-13T14:00:40-07:00,408,0.240,437,0
6/13/14,walking,walking,2014-06-13T14:46:03-07:00,2014-06-13T14:52:23-07:00,380,0.298,763,0
6/13/14,transport,transport,2014-06-13T14:52:23-07:00,2014-06-13T14:57:53-07:00,330,1.245,0,0
6/13/14,walking,walking,2014-06-13T14:57:53-07:00,2014-06-13T15:00:36-07:00,163,0.071,231,0
6/13/14,walking,walking,2014-06-13T16:24:48-07:00,2014-06-13T16:28:35-07:00,227,0.149,348,0
6/13/14,walking,walking,2014-06-13T16:30:35-07:00,2014-06-13T16:34:35-07:00,240,0.170,365,0
6/13/14,transport,transport,2014-06-13T16:39:21-07:00,2014-06-13T17:34:01-07:00,3280,21.687,0,0
6/13/14,walking,walking,2014-06-13T17:34:29-07:00,2014-06-13T17:35:29-07:00,60,0.034,111,0
6/13/14,walking,walking,2014-06-13T17:36:52-07:00,2014-06-13T17:39:30-07:00,158,0.053,171,0
6/13/14,transport,transport,2014-06-13T17:39:30-07:00,2014-06-13T17:52:41-07:00,791,2.433,0,0
6/13/14,walking,walking,2014-06-13T17:52:40-07:00,2014-06-13T17:59:10-07:00,390,0.173,447,0
6/13/14,transport,transport,2014-06-13T17:59:11-07:00,2014-06-13T18:07:50-07:00,519,1.923,0,0
6/13/14,walking,walking,2014-06-13T18:08:42-07:00,2014-06-13T18:12:42-07:00,240,0.165,354,0
6/13/14,transport,transport,2014-06-13T18:45:15-07:00,2014-06-13T18:50:33-07:00,318,1.606,0,0
6/13/14,walking,walking,2014-06-13T18:53:25-07:00,2014-06-13T18:55:25-07:00,120,0.085,183,0
6/13/14,walking,walking,2014-06-13T19:05:44-07:00,2014-06-13T19:08:17-07:00,153,0.135,290,0
6/13/14,transport,transport,2014-06-13T19:22:38-07:00,2014-06-13T19:30:36-07:00,478,3.117,0,0
6/13/14,walking,walking,2014-06-13T19:37:33-07:00,2014-06-13T19:40:51-07:00,198,0.125,269,0
6/13/14,walking,walking,2014-06-13T20:36:27-07:00,2014-06-13T20:37:27-07:00,60,0.019,60,0
6/13/14,cycling,cycling,2014-06-13T20:53:34-07:00,2014-06-13T20:59:37-07:00,363,0.226,0,0
6/13/14,walking,walking,2014-06-13T21:28:04-07:00,2014-06-13T21:28:34-07:00,30,0.009,20,0
6/13/14,walking,walking,2014-06-13T21:40:34-07:00,2014-06-13T21:43:05-07:00,151,0.065,184,0
6/13/14,transport,transport,2014-06-13T21:43:05-07:00,2014-06-13T22:50:17-07:00,4032,45.437,0,0
6/13/14,walking,walking,2014-06-13T22:51:04-07:00,2014-06-13T22:52:04-07:00,60,0.019,61,0
6/13/14,walking,walking,2014-06-13T23:28:59-07:00,2014-06-13T23:29:59-07:00,60,0.019,50,0
