Date,Type,Name,Start,End,Duration
7/4/14,place,Home,2014-07-04T00:00:00-07:00,2014-07-04T09:04:14-07:00,32654
7/4/14,move,transport,2014-07-04T09:04:14-07:00,2014-07-04T09:15:00-07:00,646
7/4/14,place,Home,2014-07-04T09:15:00-07:00,2014-07-04T10:02:13-07:00,2833
7/4/14,move,transport,2014-07-04T10:02:13-07:00,2014-07-04T11:56:49-07:00,6876
7/4/14,place,Place in Fresno County,2014-07-04T11:56:48-07:00,2014-07-04T12:07:02-07:00,614
7/4/14,move,transport,2014-07-04T12:07:02-07:00,2014-07-04T13:21:11-07:00,4449
7/4/14,place,Place in Pilot Travel Center #154,2014-07-04T13:21:10-07:00,2014-07-04T13:29:58-07:00,528
7/4/14,move,transport,2014-07-04T13:29:58-07:00,2014-07-04T13:49:28-07:00,1170
7/4/14,place,Place in California,2014-07-04T13:49:27-07:00,2014-07-04T14:33:07-07:00,2620
7/4/14,move,transport,2014-07-04T14:33:07-07:00,2014-07-04T16:12:36-07:00,5969
7/4/14,move,walking,2014-07-04T16:12:35-07:00,2014-07-04T16:14:35-07:00,120
7/4/14,place,Place in Westwood Village,2014-07-04T16:14:36-07:00,2014-07-04T16:42:03-07:00,1647
7/4/14,move,transport,2014-07-04T16:42:03-07:00,2014-07-04T17:02:50-07:00,1247
7/4/14,place,Place in Westwood Village,2014-07-04T17:02:49-07:00,2014-07-04T17:27:38-07:00,1489
7/4/14,move,transport,2014-07-04T17:27:38-07:00,2014-07-04T18:01:11-07:00,2013
7/4/14,place,Place in Los Angeles County,2014-07-04T18:01:11-07:00,2014-07-04T18:15:11-07:00,840
7/4/14,move,transport,2014-07-04T18:15:11-07:00,2014-07-04T18:17:18-07:00,127
7/4/14,move,walking,2014-07-04T18:17:18-07:00,2014-07-04T18:20:21-07:00,183
7/4/14,place,Place in Santa Monica Promenade,2014-07-04T18:20:21-07:00,2014-07-04T18:45:04-07:00,1483
7/4/14,move,walking,2014-07-04T18:45:04-07:00,2014-07-04T18:58:37-07:00,813
7/4/14,place,Place in Los Angeles County,2014-07-04T18:58:37-07:00,2014-07-04T19:02:55-07:00,258
7/4/14,move,walking,2014-07-04T19:02:55-07:00,2014-07-04T19:13:38-07:00,643
7/4/14,move,transport,2014-07-04T19:13:37-07:00,2014-07-04T19:19:55-07:00,378
7/4/14,place,Place in Los Angeles County,2014-07-04T19:19:56-07:00,2014-07-04T19:31:02-07:00,666
7/4/14,move,transport,2014-07-04T19:31:02-07:00,2014-07-04T19:45:55-07:00,893
7/4/14,place,Place in Los Angeles County,2014-07-04T19:45:55-07:00,2014-07-04T21:20:21-07:00,5666
7/4/14,move,walking,2014-07-04T21:20:21-07:00,2014-07-04T21:23:57-07:00,216
7/4/14,move,transport,2014-07-04T21:23:57-07:00,2014-07-04T22:27:19-07:00,3802
7/4/14,place,Place in Los Angeles County,2014-07-04T22:27:19-07:00,2014-07-05T00:00:00-07:00,5561
