Date,Type,Name,Start,End,Duration
6/3/14,place,Home,2014-06-03T01:02:31-07:00,2014-06-03T15:22:42-07:00,51611
6/3/14,move,cycling,2014-06-03T15:22:42-07:00,2014-06-03T15:28:54-07:00,372
6/3/14,place,Herbivore,2014-06-03T15:28:54-07:00,2014-06-03T16:11:48-07:00,2574
6/3/14,move,walking,2014-06-03T16:11:48-07:00,2014-06-03T16:14:26-07:00,158
6/3/14,move,transport,2014-06-03T16:14:26-07:00,2014-06-03T16:19:56-07:00,330
6/3/14,move,walking,2014-06-03T16:19:56-07:00,2014-06-03T16:22:04-07:00,128
6/3/14,place,School of Information,2014-06-03T16:22:05-07:00,2014-06-03T21:01:43-07:00,16778
6/3/14,move,transport,2014-06-03T21:01:43-07:00,2014-06-03T21:04:35-07:00,172
6/3/14,move,walking,2014-06-03T21:04:35-07:00,2014-06-03T21:06:38-07:00,123
6/3/14,place,Recreational Sports Facility (RSF),2014-06-03T21:06:38-07:00,2014-06-03T22:59:18-07:00,6760
6/3/14,move,transport,2014-06-03T22:59:18-07:00,2014-06-03T23:01:47-07:00,149
6/3/14,move,cycling,2014-06-03T23:01:47-07:00,2014-06-03T23:04:17-07:00,150
6/3/14,place,Bangkok Noodles & Thai BBQ,2014-06-03T23:04:17-07:00,2014-06-03T23:49:00-07:00,2683
6/3/14,move,cycling,2014-06-03T23:49:00-07:00,2014-06-03T23:53:40-07:00,280
6/3/14,place,Home,2014-06-03T23:53:40-07:00,2014-06-04T00:00:00-07:00,380
6/4/14,place,Home,2014-06-04T00:00:00-07:00,2014-06-04T15:21:13-07:00,55273
6/4/14,move,cycling,2014-06-04T15:21:13-07:00,2014-06-04T15:33:24-07:00,731
6/4/14,move,transport,2014-06-04T15:33:24-07:00,2014-06-04T16:12:00-07:00,2316
6/4/14,place,Home,2014-06-04T16:12:00-07:00,2014-06-04T17:11:50-07:00,3590
6/4/14,move,transport,2014-06-04T17:11:50-07:00,2014-06-04T17:17:59-07:00,369
6/4/14,place,Berkeley Bowl West,2014-06-04T17:17:59-07:00,2014-06-04T18:22:08-07:00,3849
6/4/14,move,transport,2014-06-04T18:22:08-07:00,2014-06-04T18:28:31-07:00,383
6/4/14,move,walking,2014-06-04T18:28:31-07:00,2014-06-04T18:30:33-07:00,122
6/4/14,place,Home,2014-06-04T18:30:33-07:00,2014-06-05T00:00:00-07:00,19767
6/5/14,place,Home,2014-06-05T00:00:00-07:00,2014-06-05T10:36:41-07:00,38201
6/5/14,move,cycling,2014-06-05T10:36:41-07:00,2014-06-05T10:50:00-07:00,799
6/5/14,place,School of Information,2014-06-05T10:50:01-07:00,2014-06-05T10:59:36-07:00,575
6/5/14,move,walking,2014-06-05T10:59:36-07:00,2014-06-05T11:03:23-07:00,227
6/5/14,place,"Place in University of California, Berkeley",2014-06-05T11:03:23-07:00,2014-06-05T12:34:46-07:00,5483
6/5/14,move,walking,2014-06-05T12:34:46-07:00,2014-06-05T12:40:39-07:00,353
6/5/14,place,School of Information,2014-06-05T12:40:40-07:00,2014-06-05T14:09:25-07:00,5325
6/5/14,move,cycling,2014-06-05T14:09:25-07:00,2014-06-05T14:17:30-07:00,485
6/5/14,place,Home,2014-06-05T14:17:30-07:00,2014-06-05T15:56:29-07:00,5939
6/5/14,move,transport,2014-06-05T15:56:29-07:00,2014-06-05T17:05:06-07:00,4117
6/5/14,place,Place in East Palo Alto,2014-06-05T17:05:06-07:00,2014-06-05T18:11:06-07:00,3960
6/5/14,move,transport,2014-06-05T18:11:06-07:00,2014-06-05T19:24:32-07:00,4406
6/5/14,place,Home,2014-06-05T19:24:32-07:00,2014-06-05T21:33:59-07:00,7767
6/5/14,move,walking,2014-06-05T21:33:59-07:00,2014-06-05T21:53:31-07:00,1172
6/5/14,place,Place in Berkeley,2014-06-05T21:53:31-07:00,2014-06-06T00:00:00-07:00,7589
6/6/14,place,Place in Berkeley,2014-06-06T00:00:00-07:00,2014-06-06T00:36:42-07:00,2202
6/6/14,move,walking,2014-06-06T00:36:42-07:00,2014-06-06T01:00:24-07:00,1422
6/6/14,place,Home,2014-06-06T01:00:24-07:00,2014-06-06T08:50:45-07:00,28221
6/6/14,move,transport,2014-06-06T08:50:45-07:00,2014-06-06T09:01:19-07:00,634
6/6/14,move,walking,2014-06-06T09:01:18-07:00,2014-06-06T09:18:44-07:00,1046
6/6/14,place,"Place in University of California, Berkeley",2014-06-06T09:18:45-07:00,2014-06-06T11:58:32-07:00,9587
6/6/14,move,walking,2014-06-06T11:58:32-07:00,2014-06-06T12:33:01-07:00,2069
6/6/14,place,Home,2014-06-06T12:33:00-07:00,2014-06-06T19:27:39-07:00,24879
6/6/14,move,transport,2014-06-06T19:27:39-07:00,2014-06-06T19:37:51-07:00,612
6/6/14,move,walking,2014-06-06T19:37:50-07:00,2014-06-06T19:40:59-07:00,189
6/6/14,place,Place in Haas Pavilion,2014-06-06T19:40:59-07:00,2014-06-06T21:19:50-07:00,5931
6/6/14,move,transport,2014-06-06T21:19:50-07:00,2014-06-06T21:27:38-07:00,468
6/6/14,place,Home,2014-06-06T21:28:15-07:00,2014-06-07T00:00:00-07:00,9105
6/7/14,place,Home,2014-06-07T00:00:00-07:00,2014-06-07T11:51:41-07:00,42701
6/7/14,move,running,2014-06-07T11:51:41-07:00,2014-06-07T11:59:17-07:00,456
6/7/14,move,transport,2014-06-07T11:59:17-07:00,2014-06-07T12:41:50-07:00,2553
6/7/14,move,walking,2014-06-07T12:41:49-07:00,2014-06-07T12:54:02-07:00,733
6/7/14,place,Place in Powell Station,2014-06-07T12:54:03-07:00,2014-06-07T13:01:04-07:00,421
6/7/14,move,transport,2014-06-07T13:01:04-07:00,2014-06-07T13:41:17-07:00,2413
6/7/14,move,walking,2014-06-07T13:41:16-07:00,2014-06-07T13:53:52-07:00,756
6/7/14,place,Place in Golden Gate Park,2014-06-07T13:53:53-07:00,2014-06-07T14:35:17-07:00,2484
6/7/14,move,walking,2014-06-07T14:35:17-07:00,2014-06-07T14:40:37-07:00,320
6/7/14,place,Place in Golden Gate Park,2014-06-07T14:40:37-07:00,2014-06-07T18:14:08-07:00,12811
6/7/14,move,walking,2014-06-07T19:06:24-07:00,2014-06-07T19:16:30-07:00,606
6/7/14,place,Place in San Francisco,2014-06-07T19:16:31-07:00,2014-06-07T19:24:15-07:00,464
6/7/14,place,Home,2014-06-07T22:17:58-07:00,2014-06-08T00:00:00-07:00,6122
6/8/14,place,Home,2014-06-08T00:00:00-07:00,2014-06-08T00:27:04-07:00,1624
6/8/14,place,Home,2014-06-08T20:37:09-07:00,2014-06-09T00:00:00-07:00,12171
6/9/14,place,Home,2014-06-09T00:00:00-07:00,2014-06-09T08:32:55-07:00,30775
6/9/14,move,cycling,2014-06-09T08:32:55-07:00,2014-06-09T08:43:51-07:00,656
6/9/14,move,walking,2014-06-09T08:43:51-07:00,2014-06-09T08:47:09-07:00,198
6/9/14,move,transport,2014-06-09T08:47:09-07:00,2014-06-09T08:54:05-07:00,416
6/9/14,place,"Place in University of California, Berkeley",2014-06-09T08:54:05-07:00,2014-06-09T12:37:14-07:00,13389
6/9/14,move,walking,2014-06-09T12:37:14-07:00,2014-06-09T12:42:39-07:00,325
6/9/14,place,School of Information,2014-06-09T12:42:39-07:00,2014-06-09T14:34:54-07:00,6735
6/9/14,move,cycling,2014-06-09T14:34:54-07:00,2014-06-09T14:47:01-07:00,727
6/9/14,place,Home,2014-06-09T14:47:02-07:00,2014-06-09T15:42:15-07:00,3313
6/9/14,move,transport,2014-06-09T15:42:15-07:00,2014-06-09T16:38:17-07:00,3362
6/9/14,place,Ravenswood Child Development Center,2014-06-09T16:38:16-07:00,2014-06-09T17:34:22-07:00,3366
6/9/14,move,walking,2014-06-09T17:34:22-07:00,2014-06-09T17:37:32-07:00,190
6/9/14,place,Place in East Palo Alto,2014-06-09T17:37:32-07:00,2014-06-09T17:42:26-07:00,294
6/9/14,move,transport,2014-06-09T17:42:26-07:00,2014-06-09T18:48:51-07:00,3985
6/9/14,place,Home,2014-06-09T18:48:50-07:00,2014-06-09T19:52:20-07:00,3810
6/9/14,move,cycling,2014-06-09T19:52:20-07:00,2014-06-09T20:01:51-07:00,571
6/9/14,place,Recreational Sports Facility (RSF),2014-06-09T20:01:51-07:00,2014-06-09T21:59:38-07:00,7067
6/9/14,move,walking,2014-06-09T21:59:38-07:00,2014-06-09T22:14:04-07:00,866
6/9/14,place,Tuk Tuk Thai Cafe,2014-06-09T22:14:04-07:00,2014-06-09T23:01:27-07:00,2843
6/9/14,move,transport,2014-06-09T23:01:27-07:00,2014-06-09T23:06:01-07:00,274
6/9/14,place,Home,2014-06-09T23:06:02-07:00,2014-06-10T00:00:00-07:00,3238
6/10/14,place,Home,2014-06-10T00:00:00-07:00,2014-06-10T12:36:50-07:00,45410
6/10/14,move,cycling,2014-06-10T12:36:50-07:00,2014-06-10T12:49:01-07:00,731
6/10/14,place,Memorial Glade,2014-06-10T12:49:00-07:00,2014-06-10T15:17:26-07:00,8906
6/10/14,move,walking,2014-06-10T15:17:26-07:00,2014-06-10T15:20:24-07:00,178
6/10/14,place,School of Information,2014-06-10T15:20:24-07:00,2014-06-10T15:25:30-07:00,306
6/10/14,move,walking,2014-06-10T15:25:30-07:00,2014-06-10T15:34:04-07:00,514
6/10/14,place,Sutardja Dai Hall - CITRIS Building,2014-06-10T15:34:03-07:00,2014-06-10T17:39:58-07:00,7555
6/10/14,move,transport,2014-06-10T17:39:58-07:00,2014-06-10T17:46:45-07:00,407
6/10/14,move,walking,2014-06-10T17:46:45-07:00,2014-06-10T17:50:46-07:00,241
6/10/14,place,Place in Berkeley,2014-06-10T17:50:46-07:00,2014-06-10T17:54:26-07:00,220
6/10/14,move,walking,2014-06-10T17:54:26-07:00,2014-06-10T17:59:22-07:00,296
6/10/14,place,"Place in University of California, Berkeley",2014-06-10T17:59:22-07:00,2014-06-10T20:35:28-07:00,9366
6/10/14,move,cycling,2014-06-10T20:35:28-07:00,2014-06-10T20:42:44-07:00,436
6/10/14,place,Home,2014-06-10T20:42:44-07:00,2014-06-11T00:00:00-07:00,11836
6/11/14,place,Home,2014-06-11T00:00:00-07:00,2014-06-11T10:24:37-07:00,37477
6/11/14,move,cycling,2014-06-11T10:24:37-07:00,2014-06-11T10:34:00-07:00,563
6/11/14,place,Sutardja Dai Hall - CITRIS Building,2014-06-11T10:34:00-07:00,2014-06-11T13:25:16-07:00,10276
6/11/14,move,walking,2014-06-11T13:25:16-07:00,2014-06-11T13:31:40-07:00,384
6/11/14,place,School of Information,2014-06-11T13:31:40-07:00,2014-06-11T18:45:16-07:00,18816
6/11/14,move,walking,2014-06-11T18:45:16-07:00,2014-06-11T18:54:54-07:00,578
6/11/14,place,Recreational Sports Facility (RSF),2014-06-11T18:54:55-07:00,2014-06-11T19:03:41-07:00,526
6/11/14,place,Home,2014-06-11T22:35:27-07:00,2014-06-11T22:47:20-07:00,713
6/12/14,move,transport,2014-06-12T14:04:52-07:00,2014-06-12T14:13:06-07:00,494
6/12/14,move,walking,2014-06-12T14:13:05-07:00,2014-06-12T14:17:13-07:00,248
6/12/14,place,School of Information,2014-06-12T14:17:14-07:00,2014-06-12T15:32:50-07:00,4536
6/12/14,move,walking,2014-06-12T15:32:50-07:00,2014-06-12T15:39:14-07:00,384
6/12/14,place,Sutardja Dai Hall - CITRIS Building,2014-06-12T15:39:14-07:00,2014-06-12T17:52:21-07:00,7987
6/12/14,move,walking,2014-06-12T17:52:21-07:00,2014-06-12T17:59:46-07:00,445
6/12/14,place,School of Information,2014-06-12T17:59:47-07:00,2014-06-12T18:13:05-07:00,798
6/12/14,move,cycling,2014-06-12T18:13:05-07:00,2014-06-12T18:28:28-07:00,923
6/12/14,place,Home,2014-06-12T18:28:27-07:00,2014-06-13T00:00:00-07:00,19893
6/13/14,place,Home,2014-06-13T00:00:00-07:00,2014-06-13T08:56:56-07:00,32216
6/13/14,move,transport,2014-06-13T08:56:56-07:00,2014-06-13T09:06:45-07:00,589
6/13/14,move,walking,2014-06-13T09:06:44-07:00,2014-06-13T09:12:15-07:00,331
6/13/14,place,Sutardja Dai Hall - CITRIS Building,2014-06-13T09:12:16-07:00,2014-06-13T10:45:16-07:00,5580
6/13/14,move,transport,2014-06-13T10:45:16-07:00,2014-06-13T10:55:04-07:00,588
6/13/14,place,Home,2014-06-13T10:55:04-07:00,2014-06-13T11:22:09-07:00,1625
6/13/14,move,transport,2014-06-13T11:22:09-07:00,2014-06-13T12:05:00-07:00,2571
6/13/14,place,Place in San Mateo,2014-06-13T12:05:00-07:00,2014-06-13T13:53:52-07:00,6532
6/13/14,move,walking,2014-06-13T13:53:52-07:00,2014-06-13T14:00:40-07:00,408
6/13/14,place,Place in San Mateo,2014-06-13T14:00:39-07:00,2014-06-13T14:46:03-07:00,2724
6/13/14,move,walking,2014-06-13T14:46:03-07:00,2014-06-13T14:52:23-07:00,380
6/13/14,move,transport,2014-06-13T14:52:23-07:00,2014-06-13T14:57:53-07:00,330
6/13/14,move,walking,2014-06-13T14:57:53-07:00,2014-06-13T15:00:36-07:00,163
6/13/14,place,Place in Hayward Park,2014-06-13T15:00:35-07:00,2014-06-13T16:24:48-07:00,5053
6/13/14,move,walking,2014-06-13T16:24:48-07:00,2014-06-13T16:28:35-07:00,227
6/13/14,place,Place in Hayward Park,2014-06-13T16:28:35-07:00,2014-06-13T16:39:21-07:00,646
6/13/14,move,transport,2014-06-13T16:39:21-07:00,2014-06-13T17:34:01-07:00,3280
6/13/14,place,Place in Mountain View,2014-06-13T17:34:00-07:00,2014-06-13T17:36:52-07:00,172
6/13/14,move,walking,2014-06-13T17:36:52-07:00,2014-06-13T17:39:30-07:00,158
6/13/14,move,transport,2014-06-13T17:39:30-07:00,2014-06-13T17:52:41-07:00,791
6/13/14,move,walking,2014-06-13T17:52:40-07:00,2014-06-13T17:59:10-07:00,390
6/13/14,move,transport,2014-06-13T17:59:11-07:00,2014-06-13T18:07:50-07:00,519
6/13/14,place,Place in Mountain View,2014-06-13T18:07:49-07:00,2014-06-13T18:45:15-07:00,2246
6/13/14,move,transport,2014-06-13T18:45:15-07:00,2014-06-13T18:50:33-07:00,318
6/13/14,place,Place in Mountain View,2014-06-13T18:50:33-07:00,2014-06-13T19:22:38-07:00,1925
6/13/14,move,transport,2014-06-13T19:22:38-07:00,2014-06-13T19:30:36-07:00,478
6/13/14,place,Place in Foothill College,2014-06-13T19:30:36-07:00,2014-06-13T20:53:34-07:00,4978
6/13/14,move,cycling,2014-06-13T20:53:34-07:00,2014-06-13T20:59:37-07:00,363
6/13/14,place,Place in Foothill College,2014-06-13T20:59:37-07:00,2014-06-13T21:40:34-07:00,2457
6/13/14,move,walking,2014-06-13T21:40:34-07:00,2014-06-13T21:43:05-07:00,151
6/13/14,move,transport,2014-06-13T21:43:05-07:00,2014-06-13T22:50:17-07:00,4032
6/13/14,place,Place in Western Drive/Nobel,2014-06-13T22:50:16-07:00,2014-06-14T00:00:00-07:00,4184
6/14/14,place,Place in Western Drive/Nobel,2014-06-14T00:00:00-07:00,2014-06-14T08:46:53-07:00,31613
6/14/14,move,transport,2014-06-14T08:46:53-07:00,2014-06-14T09:02:48-07:00,955
6/14/14,move,walking,2014-06-14T09:02:47-07:00,2014-06-14T09:06:19-07:00,212
6/14/14,place,Place in Beach & Boardwalk District (Commercial),2014-06-14T09:06:19-07:00,2014-06-14T18:59:25-07:00,35586
6/14/14,move,walking,2014-06-14T18:59:25-07:00,2014-06-14T19:02:38-07:00,193
6/14/14,place,Place in Beach & Boardwalk District (Commercial),2014-06-14T19:02:37-07:00,2014-06-14T19:04:45-07:00,128
6/14/14,move,walking,2014-06-14T19:04:45-07:00,2014-06-14T19:10:13-07:00,328
6/14/14,place,Place in Beach & Boardwalk District (Commercial),2014-06-14T19:10:13-07:00,2014-06-14T19:14:07-07:00,234
6/14/14,move,walking,2014-06-14T19:14:07-07:00,2014-06-14T19:17:38-07:00,211
6/14/14,move,cycling,2014-06-14T19:17:38-07:00,2014-06-14T19:30:35-07:00,777
6/14/14,move,walking,2014-06-14T19:30:36-07:00,2014-06-14T19:45:33-07:00,897
6/14/14,move,cycling,2014-06-14T19:45:33-07:00,2014-06-14T19:58:10-07:00,757
6/14/14,move,transport,2014-06-14T19:58:11-07:00,2014-06-14T20:13:42-07:00,931
6/14/14,move,walking,2014-06-14T20:13:42-07:00,2014-06-14T20:22:23-07:00,521
6/14/14,place,Place in Downtown District (Commercial),2014-06-14T20:22:23-07:00,2014-06-14T21:57:57-07:00,5734
6/14/14,move,walking,2014-06-14T21:57:57-07:00,2014-06-14T22:01:13-07:00,196
6/14/14,place,Place in Downtown District (Commercial),2014-06-14T22:01:12-07:00,2014-06-14T22:42:22-07:00,2470
6/14/14,place,Place in Downtown District (Commercial),2014-06-14T23:05:56-07:00,2014-06-14T23:14:27-07:00,511
6/14/14,move,transport,2014-06-14T23:14:27-07:00,2014-06-14T23:21:36-07:00,429
6/14/14,place,Place in Western Drive/Nobel,2014-06-14T23:21:36-07:00,2014-06-14T23:31:42-07:00,606
