Date,Activity,Group,Duration,Distance,Steps,Calories
6/3/14,walking,walking,1350,0.872,2139,0
6/3/14,cycling,cycling,802,2.492,0,0
6/3/14,transport,transport,651,1.372,0,0
6/4/14,walking,walking,1222,0.632,1512,0
6/4/14,cycling,cycling,731,2.549,0,0
6/4/14,transport,transport,3068,10.384,0,0
6/5/14,cycling,cycling,1284,3.441,0,0
6/5/14,walking,walking,2330,1.834,4134,0
6/5/14,transport,transport,8523,84.995,0,0
6/6/14,walking,walking,4726,3.892,8823,0
6/6/14,transport,transport,1714,5.279,0,0
6/7/14,walking,walking,3138,1.614,4220,0
6/7/14,transport,transport,4966,19.629,0,0
6/7/14,running,running,456,0.677,1165,0
6/9/14,cycling,cycling,1954,4.745,0,0
6/9/14,walking,walking,2179,1.433,2987,0
6/9/14,transport,transport,8037,84.092,0,0
6/10/14,cycling,cycling,1167,3.424,0,0
6/10/14,walking,walking,1771,1.112,2560,0
6/10/14,transport,transport,407,0.291,0,0
6/11/14,cycling,cycling,563,1.886,0,0
6/11/14,walking,walking,1286,0.879,1878,0
6/12/14,walking,walking,1137,0.718,1683,0
6/12/14,transport,transport,494,1.037,0,0
6/12/14,cycling,cycling,923,1.971,0,0
6/13/14,walking,walking,3609,2.137,5016,0
6/13/14,transport,transport,13496,114.216,0,0
6/13/14,cycling,cycling,363,0.226,0,0
6/14/14,walking,walking,3790,2.338,4458,0
6/14/14,transport,transport,2315,7.524,0,0
6/14/14,cycling,cycling,1534,2.915,0,0
6/15/14,walking,walking,2098,1.478,3200,0
6/15/14,transport,transport,7673,81.358,0,0
6/16/14,transport,transport,7765,83.189,0,0
6/16/14,walking,walking,1118,0.796,1860,0
6/17/14,walking,walking,343,0.216,499,0
6/17/14,cycling,cycling,337,1.028,0,0
6/17/14,transport,transport,1000,1.001,0,0
6/18/14,walking,walking,670,0.381,904,0
6/18/14,transport,transport,579,1.427,0,0
6/18/14,cycling,cycling,362,1.545,0,0
6/19/14,cycling,cycling,1184,2.831,0,0
6/19/14,walking,walking,2148,1.371,2997,0
6/19/14,transport,transport,4421,25.720,0,0
6/21/14,walking,walking,150,0.094,212,0
6/21/14,transport,transport,5480,89.972,0,0
6/22/14,walking,walking,799,0.554,1148,0
6/22/14,transport,transport,2984,31.281,0,0
6/22/14,running,running,1407,2.630,3348,0
6/23/14,cycling,cycling,420,1.274,0,0
6/23/14,walking,walking,1899,1.253,2573,0
6/23/14,transport,transport,201,0.908,0,0
6/24/14,walking,walking,1514,0.917,1621,0
6/24/14,transport,transport,3630,54.430,0,0
6/24/14,cycling,cycling,1309,3.147,0,0
6/25/14,transport,transport,4651,53.209,0,0
6/25/14,walking,walking,376,0.188,524,0
6/26/14,transport,transport,15170,177.064,0,0
6/26/14,walking,walking,667,0.454,1017,0
6/27/14,transport,transport,4023,20.366,0,0
6/27/14,walking,walking,699,0.452,1033,0
6/28/14,walking,walking,313,0.180,498,0
6/28/14,transport,transport,7108,97.532,0,0
6/29/14,transport,transport,4477,47.568,0,0
6/29/14,walking,walking,1816,1.269,2249,0
6/30/14,walking,walking,1929,1.369,2335,0
6/30/14,transport,transport,932,2.756,0,0
6/30/14,cycling,cycling,48,0.000,0,0
