Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
6/23/14,cycling,cycling,2014-06-23T19:54:07-07:00,2014-06-23T20:01:07-07:00,420,1.274,0,0
6/23/14,walking,walking,2014-06-23T20:01:07-07:00,2014-06-23T20:04:20-07:00,193,0.096,206,0
6/23/14,walking,walking,2014-06-23T21:39:34-07:00,2014-06-23T21:40:34-07:00,60,0.029,92,0
6/23/14,walking,walking,2014-06-23T22:00:54-07:00,2014-06-23T22:11:21-07:00,627,0.366,690,0
6/23/14,walking,walking,2014-06-23T22:16:48-07:00,2014-06-23T22:17:48-07:00,60,0.019,61,0
6/23/14,walking,walking,2014-06-23T22:55:11-07:00,2014-06-23T23:05:01-07:00,590,0.462,981,0
6/23/14,walking,walking,2014-06-23T23:07:20-07:00,2014-06-23T23:13:29-07:00,369,0.281,543,0
6/23/14,transport,transport,2014-06-23T23:56:39-07:00,2014-06-24T00:00:00-07:00,201,0.908,0,0
6/24/14,transport,transport,2014-06-24T00:00:00-07:00,2014-06-24T00:01:28-07:00,88,0.235,0,0
6/24/14,walking,walking,2014-06-24T00:01:27-07:00,2014-06-24T00:04:21-07:00,174,0.054,98,0
6/24/14,walking,walking,2014-06-24T00:05:27-07:00,2014-06-24T00:05:57-07:00,30,0.013,41,0
6/24/14,cycling,cycling,2014-06-24T08:42:47-07:00,2014-06-24T08:51:50-07:00,543,1.159,0,0
6/24/14,walking,walking,2014-06-24T08:51:50-07:00,2014-06-24T09:04:21-07:00,751,0.488,822,0
6/24/14,walking,walking,2014-06-24T09:06:19-07:00,2014-06-24T09:06:49-07:00,30,0.019,61,0
6/24/14,walking,walking,2014-06-24T10:51:16-07:00,2014-06-24T10:54:35-07:00,199,0.152,204,0
6/24/14,walking,walking,2014-06-24T11:00:05-07:00,2014-06-24T11:00:35-07:00,30,0.009,30,0
6/24/14,cycling,cycling,2014-06-24T12:13:38-07:00,2014-06-24T12:19:06-07:00,328,0.754,0,0
6/24/14,walking,walking,2014-06-24T12:19:40-07:00,2014-06-24T12:20:10-07:00,30,0.025,81,0
6/24/14,cycling,cycling,2014-06-24T13:09:33-07:00,2014-06-24T13:16:51-07:00,438,1.234,0,0
6/24/14,walking,walking,2014-06-24T13:17:18-07:00,2014-06-24T13:19:48-07:00,150,0.070,101,0
6/24/14,transport,transport,2014-06-24T19:54:29-07:00,2014-06-24T20:44:10-07:00,2981,53.795,0,0
6/24/14,walking,walking,2014-06-24T20:44:26-07:00,2014-06-24T20:46:26-07:00,120,0.085,183,0
6/24/14,transport,transport,2014-06-24T21:05:40-07:00,2014-06-24T21:15:01-07:00,561,0.401,0,0
6/25/14,transport,transport,2014-06-25T00:01:20-07:00,2014-06-25T01:08:56-07:00,4056,51.489,0,0
6/25/14,walking,walking,2014-06-25T01:18:25-07:00,2014-06-25T01:18:55-07:00,30,0.009,20,0
6/25/14,transport,transport,2014-06-25T16:59:51-07:00,2014-06-25T17:03:52-07:00,241,0.782,0,0
6/25/14,walking,walking,2014-06-25T17:03:51-07:00,2014-06-25T17:08:07-07:00,256,0.138,371,0
6/25/14,walking,walking,2014-06-25T17:12:22-07:00,2014-06-25T17:12:52-07:00,30,0.012,41,0
6/25/14,transport,transport,2014-06-25T17:19:16-07:00,2014-06-25T17:25:10-07:00,354,0.939,0,0
6/25/14,walking,walking,2014-06-25T17:25:40-07:00,2014-06-25T17:26:40-07:00,60,0.029,92,0
6/26/14,transport,transport,2014-06-26T08:25:59-07:00,2014-06-26T09:51:00-07:00,5101,64.845,0,0
6/26/14,walking,walking,2014-06-26T09:52:04-07:00,2014-06-26T09:52:34-07:00,30,0.019,61,0
6/26/14,transport,transport,2014-06-26T14:45:35-07:00,2014-06-26T16:16:46-07:00,5471,52.496,0,0
6/26/14,walking,walking,2014-06-26T16:16:46-07:00,2014-06-26T16:19:57-07:00,191,0.073,183,0
6/26/14,transport,transport,2014-06-26T17:24:42-07:00,2014-06-26T17:33:26-07:00,524,1.522,0,0
6/26/14,transport,transport,2014-06-26T19:25:58-07:00,2014-06-26T19:33:37-07:00,459,2.003,0,0
6/26/14,walking,walking,2014-06-26T19:34:23-07:00,2014-06-26T19:35:26-07:00,63,0.030,97,0
6/26/14,walking,walking,2014-06-26T19:48:28-07:00,2014-06-26T19:54:20-07:00,352,0.312,613,0
6/26/14,walking,walking,2014-06-26T21:32:12-07:00,2014-06-26T21:32:13-07:00,1,0.001,2,0
6/26/14,transport,transport,2014-06-26T21:32:13-07:00,2014-06-26T22:32:28-07:00,3615,56.198,0,0
6/26/14,walking,walking,2014-06-26T22:33:47-07:00,2014-06-26T22:34:17-07:00,30,0.019,61,0
6/27/14,transport,transport,2014-06-27T10:26:42-07:00,2014-06-27T10:42:02-07:00,920,6.592,0,0
6/27/14,walking,walking,2014-06-27T10:43:51-07:00,2014-06-27T10:47:21-07:00,210,0.142,305,0
6/27/14,transport,transport,2014-06-27T12:42:25-07:00,2014-06-27T12:48:20-07:00,355,1.465,0,0
6/27/14,walking,walking,2014-06-27T12:49:17-07:00,2014-06-27T12:50:47-07:00,90,0.057,183,0
6/27/14,transport,transport,2014-06-27T13:52:35-07:00,2014-06-27T14:05:22-07:00,767,4.873,0,0
6/27/14,transport,transport,2014-06-27T15:42:30-07:00,2014-06-27T15:59:10-07:00,1000,1.092,0,0
6/27/14,transport,transport,2014-06-27T17:48:38-07:00,2014-06-27T18:04:59-07:00,981,6.344,0,0
6/27/14,walking,walking,2014-06-27T18:09:19-07:00,2014-06-27T18:10:19-07:00,60,0.025,81,0
6/27/14,walking,walking,2014-06-27T21:02:40-07:00,2014-06-27T21:07:19-07:00,279,0.199,373,0
6/27/14,walking,walking,2014-06-27T21:10:27-07:00,2014-06-27T21:11:27-07:00,60,0.029,91,0
6/28/14,walking,walking,2014-06-28T00:19:01-07:00,2014-06-28T00:23:14-07:00,253,0.152,407,0
6/28/14,transport,transport,2014-06-28T00:23:14-07:00,2014-06-28T01:26:32-07:00,3798,44.201,0,0
6/28/14,transport,transport,2014-06-28T15:35:17-07:00,2014-06-28T16:30:27-07:00,3310,53.331,0,0
6/28/14,walking,walking,2014-06-28T16:31:06-07:00,2014-06-28T16:31:36-07:00,30,0.019,61,0
6/28/14,walking,walking,2014-06-28T21:19:55-07:00,2014-06-28T21:20:25-07:00,30,0.009,30,0
6/29/14,transport,transport,2014-06-29T16:05:33-07:00,2014-06-29T16:22:13-07:00,1000,0.831,0,0
6/29/14,transport,transport,2014-06-29T16:31:13-07:00,2014-06-29T16:46:35-07:00,922,3.465,0,0
6/29/14,walking,walking,2014-06-29T16:46:35-07:00,2014-06-29T16:50:51-07:00,256,0.146,376,0
6/29/14,walking,walking,2014-06-29T16:55:05-07:00,2014-06-29T16:57:05-07:00,120,0.089,192,0
6/29/14,walking,walking,2014-06-29T17:00:06-07:00,2014-06-29T17:00:36-07:00,30,0.012,41,0
6/29/14,transport,transport,2014-06-29T17:31:33-07:00,2014-06-29T18:14:08-07:00,2555,43.271,0,0
6/29/14,walking,walking,2014-06-29T18:15:50-07:00,2014-06-29T18:18:50-07:00,180,0.156,335,0
6/29/14,walking,walking,2014-06-29T18:49:31-07:00,2014-06-29T19:07:01-07:00,1050,0.783,1049,0
6/29/14,walking,walking,2014-06-29T19:07:01-07:00,2014-06-29T19:08:31-07:00,90,0.048,155,0
6/29/14,walking,walking,2014-06-29T20:36:23-07:00,2014-06-29T20:36:53-07:00,30,0.016,51,0
6/29/14,walking,walking,2014-06-29T21:12:22-07:00,2014-06-29T21:13:22-07:00,60,0.019,50,0
