Date,Type,Name,Start,End,Duration
6/16/14,place,Home,2014-06-16T00:00:00-07:00,2014-06-16T00:14:31-07:00,871
6/16/14,place,Home,2014-06-16T01:45:31-07:00,2014-06-16T01:53:06-07:00,455
6/16/14,move,transport,2014-06-16T15:33:52-07:00,2014-06-16T16:30:05-07:00,3373
6/16/14,place,Place in East Palo Alto,2014-06-16T16:30:04-07:00,2014-06-16T18:08:07-07:00,5883
6/16/14,move,transport,2014-06-16T18:08:07-07:00,2014-06-16T19:12:43-07:00,3876
6/16/14,place,"Place in University of California, Berkeley",2014-06-16T19:12:43-07:00,2014-06-16T19:15:08-07:00,145
6/16/14,move,walking,2014-06-16T19:15:08-07:00,2014-06-16T19:18:51-07:00,223
6/16/14,place,Recreational Sports Facility (RSF),2014-06-16T19:18:51-07:00,2014-06-16T21:03:27-07:00,6276
6/16/14,move,walking,2014-06-16T21:03:27-07:00,2014-06-16T21:10:19-07:00,412
6/16/14,move,transport,2014-06-16T21:10:19-07:00,2014-06-16T21:15:37-07:00,318
6/16/14,place,Place in Berkeley,2014-06-16T21:15:37-07:00,2014-06-16T21:36:31-07:00,1254
6/16/14,move,transport,2014-06-16T21:36:31-07:00,2014-06-16T21:39:49-07:00,198
6/16/14,place,Home,2014-06-16T21:39:50-07:00,2014-06-17T00:00:00-07:00,8410
6/17/14,place,Home,2014-06-17T00:00:00-07:00,2014-06-17T15:11:52-07:00,54712
6/17/14,move,cycling,2014-06-17T15:11:52-07:00,2014-06-17T15:17:29-07:00,337
6/17/14,place,Place in Kress Building,2014-06-17T15:17:29-07:00,2014-06-17T17:03:28-07:00,6359
6/17/14,move,walking,2014-06-17T17:03:28-07:00,2014-06-17T17:06:53-07:00,205
6/17/14,place,Place in Berkeley,2014-06-17T17:06:52-07:00,2014-06-17T23:35:18-07:00,23306
6/17/14,move,transport,2014-06-17T23:35:18-07:00,2014-06-17T23:51:58-07:00,1000
6/17/14,place,Home,2014-06-17T23:51:58-07:00,2014-06-18T00:00:00-07:00,482
6/18/14,place,Home,2014-06-18T00:00:00-07:00,2014-06-18T18:05:56-07:00,65156
6/18/14,move,transport,2014-06-18T18:05:56-07:00,2014-06-18T18:15:35-07:00,579
6/18/14,move,walking,2014-06-18T18:15:35-07:00,2014-06-18T18:18:14-07:00,159
6/18/14,place,Place in Haas Pavilion,2014-06-18T18:18:14-07:00,2014-06-18T21:14:05-07:00,10551
6/18/14,move,walking,2014-06-18T21:14:05-07:00,2014-06-18T21:16:55-07:00,170
6/18/14,place,Place in Berkeley,2014-06-18T21:16:56-07:00,2014-06-18T21:22:04-07:00,308
6/18/14,move,walking,2014-06-18T21:22:04-07:00,2014-06-18T21:27:45-07:00,341
6/18/14,place,Place in Berkeley,2014-06-18T21:27:46-07:00,2014-06-18T21:57:20-07:00,1774
6/18/14,move,cycling,2014-06-18T21:57:20-07:00,2014-06-18T22:03:22-07:00,362
6/18/14,place,Home,2014-06-18T22:03:22-07:00,2014-06-19T00:00:00-07:00,6998
6/19/14,place,Home,2014-06-19T00:00:00-07:00,2014-06-19T09:29:26-07:00,34166
6/19/14,move,cycling,2014-06-19T09:29:26-07:00,2014-06-19T09:38:07-07:00,521
6/19/14,place,Place in Berkeley,2014-06-19T09:38:07-07:00,2014-06-19T11:17:26-07:00,5959
6/19/14,move,transport,2014-06-19T11:17:26-07:00,2014-06-19T11:20:49-07:00,203
6/19/14,move,walking,2014-06-19T11:20:49-07:00,2014-06-19T11:27:12-07:00,383
6/19/14,place,School of Information,2014-06-19T11:27:13-07:00,2014-06-19T14:58:04-07:00,12651
6/19/14,move,transport,2014-06-19T14:58:04-07:00,2014-06-19T15:02:47-07:00,283
6/19/14,place,Siemens Berkeley,2014-06-19T15:02:47-07:00,2014-06-19T15:38:30-07:00,2143
6/19/14,move,walking,2014-06-19T15:38:30-07:00,2014-06-19T15:42:32-07:00,242
6/19/14,place,Place in Berkeley,2014-06-19T15:42:32-07:00,2014-06-19T17:04:00-07:00,4888
6/19/14,move,cycling,2014-06-19T17:04:00-07:00,2014-06-19T17:11:18-07:00,438
6/19/14,place,Home,2014-06-19T17:11:19-07:00,2014-06-19T17:42:45-07:00,1886
6/19/14,move,cycling,2014-06-19T17:42:45-07:00,2014-06-19T17:46:30-07:00,225
6/19/14,move,transport,2014-06-19T17:46:30-07:00,2014-06-19T18:01:26-07:00,896
6/19/14,place,Place in Oakland,2014-06-19T18:01:25-07:00,2014-06-19T18:10:37-07:00,552
6/19/14,move,transport,2014-06-19T18:10:37-07:00,2014-06-19T18:26:46-07:00,969
6/19/14,place,Place in Coliseum,2014-06-19T18:26:47-07:00,2014-06-19T18:30:18-07:00,211
6/19/14,move,walking,2014-06-19T18:30:18-07:00,2014-06-19T18:37:32-07:00,434
6/19/14,place,Place in O.co Coliseum,2014-06-19T18:37:32-07:00,2014-06-19T22:03:01-07:00,12329
6/19/14,move,walking,2014-06-19T22:03:01-07:00,2014-06-19T22:07:43-07:00,282
6/19/14,place,Place in Oakland,2014-06-19T22:07:44-07:00,2014-06-19T22:22:14-07:00,870
6/19/14,move,transport,2014-06-19T22:22:14-07:00,2014-06-19T22:52:16-07:00,1802
6/19/14,move,walking,2014-06-19T22:52:16-07:00,2014-06-19T22:54:16-07:00,120
6/19/14,move,transport,2014-06-19T22:54:16-07:00,2014-06-19T22:58:44-07:00,268
6/19/14,place,Home,2014-06-19T22:58:43-07:00,2014-06-19T23:02:20-07:00,217
6/21/14,place,Home,2014-06-21T09:30:51-07:00,2014-06-21T18:00:27-07:00,30576
6/21/14,move,transport,2014-06-21T18:00:27-07:00,2014-06-21T19:04:58-07:00,3871
6/21/14,place,Place in Sunnyvale,2014-06-21T19:04:58-07:00,2014-06-21T23:33:10-07:00,16092
6/21/14,move,transport,2014-06-21T23:33:10-07:00,2014-06-21T23:59:59-07:00,1609
6/22/14,move,transport,2014-06-22T00:00:00-07:00,2014-06-22T00:36:35-07:00,2195
6/22/14,move,walking,2014-06-22T00:36:34-07:00,2014-06-22T00:41:35-07:00,301
6/22/14,place,Place in Berkeley,2014-06-22T00:41:35-07:00,2014-06-22T04:36:44-07:00,14109
6/22/14,move,transport,2014-06-22T04:36:44-07:00,2014-06-22T04:49:53-07:00,789
6/22/14,place,Home,2014-06-22T04:49:53-07:00,2014-06-22T19:51:29-07:00,54096
6/22/14,move,running,2014-06-22T19:51:29-07:00,2014-06-22T20:14:56-07:00,1407
6/22/14,place,Place in Berkeley,2014-06-22T20:14:56-07:00,2014-06-22T20:17:25-07:00,149
6/22/14,move,walking,2014-06-22T20:17:25-07:00,2014-06-22T20:21:13-07:00,228
6/22/14,place,Home,2014-06-22T21:05:54-07:00,2014-06-22T21:14:34-07:00,520
