Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
6/4/14,walking,walking,2014-06-04T00:28:43-07:00,2014-06-04T00:29:13-07:00,30,0.009,30,0
6/4/14,walking,walking,2014-06-04T01:21:33-07:00,2014-06-04T01:22:03-07:00,30,0.009,30,0
6/4/14,walking,walking,2014-06-04T14:24:52-07:00,2014-06-04T14:25:22-07:00,30,0.012,41,0
6/4/14,walking,walking,2014-06-04T15:05:29-07:00,2014-06-04T15:07:49-07:00,140,0.083,179,0
6/4/14,cycling,cycling,2014-06-04T15:21:13-07:00,2014-06-04T15:33:24-07:00,731,2.549,0,0
6/4/14,transport,transport,2014-06-04T15:33:24-07:00,2014-06-04T16:12:00-07:00,2316,7.655,0,0
6/4/14,walking,walking,2014-06-04T16:12:53-07:00,2014-06-04T16:13:23-07:00,30,0.019,60,0
6/4/14,transport,transport,2014-06-04T17:11:50-07:00,2014-06-04T17:17:59-07:00,369,1.350,0,0
6/4/14,walking,walking,2014-06-04T17:18:59-07:00,2014-06-04T17:27:59-07:00,540,0.252,539,0
6/4/14,walking,walking,2014-06-04T18:04:30-07:00,2014-06-04T18:08:00-07:00,210,0.142,305,0
6/4/14,transport,transport,2014-06-04T18:22:08-07:00,2014-06-04T18:28:31-07:00,383,1.379,0,0
6/4/14,walking,walking,2014-06-04T18:28:31-07:00,2014-06-04T18:30:33-07:00,122,0.064,206,0
6/4/14,walking,walking,2014-06-04T18:41:32-07:00,2014-06-04T18:42:32-07:00,60,0.032,102,0
6/4/14,walking,walking,2014-06-04T22:21:18-07:00,2014-06-04T22:21:48-07:00,30,0.009,20,0
