timestamp,heartrate,steps,calories,gsr,skin_temp,air_temp
62,0,1.4,0.00115,84.4,80.6,
58,0,1.8,0.00121,84.4,80.6,
73,0,1.8,0.00121,84.4,80.3,
72,0,1.8,0.00128,84.5,80.2,
63,0,1.3,0.00122,84.4,80.2,
60,0,1.7,0.00128,84.4,80.2,
58,0,1.6,0.00136,84.4,80.2,
64,0,1.9,0.00137,84.4,80.2,
61,0,1.8,0.00144,84.4,80.2,
60,0,1.8,0.00145,84.5,80.2,
60,0,1.6,0.00144,84.5,79.8,
58,0,1.6,0.00157,84.4,79.7,
56,0,1.9,0.0016,84.3,79.4,
58,0,1.8,0.00169,84.4,79.2,
59,0,1.9,0.00172,84.4,79.2,
61,0,1.8,0.00171,84.4,79.2,
59,0,1.5,0.0017,84.4,79.2,
57,0,1.7,0.0017,84.3,79.2,
59,0,1.7,0.0019,84.2,79.2,
60,0,1.7,0.00182,84.2,79.2,
57,0,1.9,0.00173,84.2,79.2,
56,0,1.3,0.000798,84.2,78.9,
56,0,1.8,0.00117,84.1,78.8,
53,0,1.4,0.00127,83.9,78.8,
58,0,1.6,0.00135,83.8,78.8,
62,0,1.7,0.00158,83.8,79.1,
73,0,1.5,0.00167,83.7,78.9,
66,0,1.5,0.00167,83.5,78.8,
56,0,1.8,0.0016,83.5,78.8,
62,0,1.7,0.00176,83.7,79.1,
66,0,1.7,0.0017,83.8,79.2,
62,0,1.5,0.00193,83.9,79.2,
61,0,1.1,0.00215,83.8,79.2,
59,0,1.3,0.00216,83.8,79.6,
62,0,1.5,0.00216,83.9,79.7,
62,0,1.6,0.00225,83.9,79.7,
60,0,1.5,0.00211,84.1,79.7,
60,0,1.4,0.0023,84.0,79.7,
60,0,1.4,0.00241,84.0,79.7,
59,0,1.7,0.00235,84.1,79.7,
60,0,1.4,0.00254,84.1,79.7,
62,0,1.2,0.00229,84.0,79.7,
58,0,1.4,0.00223,84.0,79.7,
64,0,1.6,0.00246,83.9,79.7,
58,0,2.0,0.00229,84.1,79.7,
59,0,1.6,0.000938,84.5,79.7,
56,0,2.2,0.000917,84.3,79.7,
None,11,2.7,0.000876,84.2,79.7,
None,0,2.2,0.00075,84.2,79.4,
56,0,1.4,0.000889,84.0,79.9,
53,0,1.5,0.000885,84.2,80.8,
54,0,1.5,0.000816,84.2,81.7,
53,0,1.2,0.00101,84.3,82.6,
47,0,1.7,0.0011,84.6,83.2,
52,0,1.6,0.00121,84.9,83.6,
59,0,1.2,0.000977,84.9,84.1,
50,0,1.1,0.000979,84.9,84.2,
50,0,1.3,0.000985,84.9,84.5,
53,0,1.2,0.000996,84.9,84.7,
50,0,1.1,0.00141,84.9,84.7,
51,0,2.1,0.000943,85.1,85.0,
65,0,1.7,0.000742,85.3,84.2,
57,0,1.1,0.000774,85.5,83.4,
52,0,1.1,0.000748,85.7,83.6,
51,0,1.1,0.000773,86.1,83.8,
47,0,1.0,0.0008,86.4,84.1,
48,0,1.1,0.000801,86.6,84.5,
48,0,1.1,0.000822,86.9,85.0,
52,0,1.0,0.000801,87.1,85.1,
51,0,1.1,0.00084,87.3,85.4,
52,0,1.0,0.000817,87.5,85.6,
52,0,1.1,0.000871,87.6,85.6,
53,0,1.0,0.00087,87.8,85.9,
54,0,1.1,0.00093,88.0,86.0,
52,0,1.2,0.00088,88.2,86.0,
52,0,1.0,0.000806,88.2,86.0,
52,0,0.9,0.000863,88.2,86.0,
52,0,1.0,0.000855,88.0,85.7,
53,0,1.0,0.000857,88.0,85.2,
53,0,0.9,0.000853,88.0,85.1,
53,0,1.0,0.000894,88.0,84.8,
53,0,1.0,0.000891,88.0,84.3,
53,0,0.9,0.000901,88.0,84.2,
53,0,1.6,0.000915,87.9,84.2,
49,0,1.0,0.000871,87.8,84.2,
49,0,1.1,0.000874,87.8,84.5,
50,0,1.1,0.000884,88.0,85.0,
50,0,1.0,0.000902,88.2,85.1,
49,0,1.1,0.000924,88.5,85.4,
50,0,1.0,0.000932,88.7,85.9,
51,0,0.9,0.00101,88.9,86.0,
51,0,1.1,0.000958,89.2,86.3,
50,0,1.2,0.00103,89.5,86.5,
51,0,1.4,0.000788,89.4,86.8,
50,0,1.1,0.000802,89.5,86.9,
48,0,1.0,0.000856,89.6,86.9,
50,0,1.1,0.000846,89.8,87.2,
52,0,1.1,0.000823,89.9,87.3,
51,0,1.0,0.000832,90.0,87.3,
53,0,1.1,0.00086,90.3,87.7,
53,0,1.0,0.000865,90.4,87.8,
53,0,1.2,0.000841,90.7,87.8,
52,0,1.1,0.000826,91.1,88.1,
52,0,1.1,0.00085,91.4,88.6,
53,0,1.1,0.000833,91.5,88.7,
53,0,1.0,0.00086,91.7,89.0,
54,0,1.1,0.000894,91.9,89.2,
53,0,1.1,0.000918,92.1,89.5,
53,0,1.1,0.000898,92.3,89.6,
54,0,1.0,0.00094,92.4,89.9,
55,0,1.1,0.000934,92.6,90.1,
56,0,1.1,0.000964,92.8,90.4,
55,0,1.0,0.000974,92.9,90.5,
53,0,1.1,0.00102,93.1,90.5,
55,0,1.1,0.00104,93.2,90.8,
55,0,1.0,0.00101,93.3,91.0,
55,0,1.1,0.00114,93.4,91.3,
55,0,1.1,0.00106,93.6,91.4,
54,0,1.1,0.00111,93.6,91.4,
54,0,1.0,0.00119,93.7,91.4,
55,0,1.1,0.00117,93.9,91.7,
55,0,1.1,0.00119,93.9,91.8,
65,0,1.3,0.00158,93.9,91.8,
48,0,1.0,0.00187,94.1,91.2,
48,0,1.3,0.00187,93.8,90.6,
52,0,1.4,0.00193,93.3,90.2,
48,0,1.1,0.00208,93.1,89.7,
45,0,1.2,0.00211,92.8,89.0,
46,0,1.0,0.0021,92.4,88.4,
45,0,1.1,0.00215,92.1,87.9,
45,0,1.1,0.0021,91.8,87.8,
45,0,1.1,0.00203,91.6,87.5,
45,0,1.0,0.00197,91.3,87.0,
46,0,1.1,0.00202,91.0,86.9,
46,0,1.1,0.00203,90.9,86.6,
48,0,1.1,0.002,90.7,86.5,
47,0,1.1,0.00198,90.6,86.1,
49,0,1.1,0.00197,90.5,86.0,
49,0,1.1,0.00189,90.4,85.7,
50,0,1.1,0.0019,90.3,85.6,
46,0,1.3,0.00265,90.8,85.6,
45,0,1.1,0.0029,91.1,85.2,
47,0,1.1,0.0029,91.0,85.1,
50,0,1.1,0.00318,91.0,85.1,
47,0,1.1,0.00336,91.0,84.8,
47,0,1.1,0.00357,90.9,84.7,
51,0,1.1,0.0039,90.7,84.7,
47,0,1.1,0.00407,90.7,84.7,
50,0,1.4,0.00299,90.5,84.7,
48,0,1.1,0.00156,90.0,84.7,
49,0,1.1,0.00162,90.0,84.3,
52,0,1.1,0.00165,89.8,84.2,
47,0,1.1,0.00175,89.8,84.2,
48,0,1.2,0.00176,89.7,84.2,
49,0,1.6,0.00171,89.7,84.2,
51,0,1.0,0.00174,90.0,84.2,
45,0,1.4,0.00186,90.0,84.5,
53,0,1.3,0.0022,90.1,85.0,
51,0,1.0,0.00213,90.3,85.1,
49,0,1.0,0.00212,90.3,85.1,
49,0,1.1,0.00227,90.3,85.1,
47,0,1.0,0.00228,90.3,85.1,
48,0,1.0,0.0023,90.3,85.4,
47,0,1.1,0.00236,90.3,85.6,
48,0,1.0,0.00241,90.4,85.6,
49,0,1.3,0.0106,90.3,85.6,
48,0,1.1,0.0188,90.4,85.9,
48,0,1.0,0.0184,90.5,86.3,
50,0,0.9,0.0199,90.5,86.8,
50,0,1.0,0.0219,90.5,86.9,
50,0,0.9,0.0252,90.5,87.2,
51,0,0.9,0.0265,90.7,87.3,
51,0,1.0,0.0302,90.7,87.7,
51,0,1.1,0.0331,90.7,87.8,
51,0,1.0,0.0359,90.9,88.1,
51,0,1.1,0.0387,91.0,88.2,
52,0,1.0,0.0421,91.0,88.6,
52,0,1.1,0.0458,91.2,88.7,
52,0,1.0,0.0486,91.2,88.7,
52,0,1.1,0.052,91.3,89.0,
51,0,1.1,0.0561,91.4,89.2,
49,0,1.4,0.0632,91.4,89.2,
48,0,1.1,0.0587,91.4,89.2,
49,0,1.0,0.0596,91.4,89.5,
49,0,1.1,0.0602,91.5,89.6,
49,0,1.0,0.0613,91.6,89.6,
50,0,1.1,0.0644,91.6,89.6,
52,0,1.1,0.0652,91.9,89.9,
51,0,1.1,0.067,91.9,90.1,
51,0,1.0,0.0723,92.0,90.1,
51,0,1.1,0.0751,92.1,90.1,
51,0,1.1,0.0772,92.3,90.4,
50,0,1.0,0.0771,92.3,90.5,
50,0,1.1,0.0816,92.3,90.5,
52,0,1.1,0.086,92.5,90.5,
50,0,1.1,0.0883,92.5,90.5,
52,0,1.0,0.0904,92.6,90.8,
51,0,1.1,0.0904,92.8,91.0,
52,0,1.1,0.0971,92.8,91.0,
52,0,1.0,0.1,92.8,91.0,
52,0,1.1,0.104,93.0,91.0,
53,0,1.1,0.109,93.0,91.0,
52,0,1.1,0.113,93.0,91.0,
52,0,1.0,0.115,93.1,91.0,
52,0,1.1,0.12,93.2,91.0,
52,0,1.1,0.122,93.2,91.3,
52,0,1.0,0.127,93.2,91.4,
52,0,1.1,0.133,93.2,91.4,
54,0,1.1,0.149,93.4,91.4,
50,0,1.3,0.0606,93.4,91.4,
44,0,1.1,0.00467,93.4,90.8,
44,0,1.1,0.00493,93.4,89.9,
43,0,1.0,0.00502,93.2,89.3,
43,0,1.0,0.00517,93.0,88.8,
46,0,1.1,0.00525,92.8,88.7,
45,0,1.0,0.00533,92.6,88.4,
45,0,1.1,0.00557,92.5,88.2,
46,0,1.0,0.0056,92.3,87.9,
46,0,1.3,0.00479,92.1,87.8,
46,0,1.1,0.00538,91.8,87.5,
44,0,1.1,0.00536,91.5,87.0,
46,0,1.1,0.00513,91.3,86.6,
45,0,1.1,0.00525,91.0,86.1,
45,0,1.0,0.00522,90.8,85.7,
44,0,1.1,0.0051,90.6,85.2,
47,0,1.1,0.00534,90.4,85.1,
47,0,1.1,0.00508,90.3,84.8,
48,0,1.2,0.00524,90.1,84.7,
53,0,1.3,0.00552,89.9,84.7,
47,0,1.0,0.00603,89.6,84.3,
49,0,1.0,0.00597,89.4,84.2,
48,0,1.1,0.00602,89.3,84.2,
49,0,1.1,0.00596,89.1,84.2,
49,0,1.1,0.0059,89.1,84.2,
50,0,1.0,0.00601,88.9,84.2,
49,0,1.2,0.00618,88.9,84.2,
49,0,1.0,0.00687,88.7,84.2,
49,0,1.1,0.00697,88.6,83.9,
47,0,1.0,0.00686,88.5,83.4,
49,0,1.0,0.00712,88.5,83.3,
48,0,1.0,0.00724,88.3,83.3,
50,0,1.4,0.00688,88.2,83.3,
52,0,1.3,0.00704,88.1,83.3,
46,0,1.2,0.00669,87.8,83.3,
50,0,1.3,0.00637,87.9,83.3,
46,0,1.0,0.00681,88.1,83.0,
48,0,1.1,0.00692,88.2,82.8,
47,0,0.8,0.0072,88.2,82.8,
47,0,1.0,0.00766,88.2,82.8,
46,0,1.1,0.00792,88.2,82.8,
47,0,1.0,0.00811,88.2,82.8,
47,0,1.0,0.00871,88.2,82.5,
47,0,1.0,0.00891,88.2,82.4,
47,0,1.1,0.00963,88.2,82.4,
47,0,1.0,0.00966,88.2,82.4,
47,0,1.1,0.0109,88.2,82.4,
46,0,1.1,0.0115,88.2,82.4,
46,0,1.0,0.0128,88.2,82.4,
47,0,1.1,0.0128,88.2,82.4,
47,0,1.1,0.0147,88.2,82.4,
47,0,1.0,0.0167,88.2,82.4,
47,0,1.1,0.0195,88.2,82.4,
46,0,1.1,0.0234,88.2,82.4,
47,0,1.0,0.0358,88.2,82.7,
46,0,1.1,0.0437,88.2,82.8,
47,0,1.1,0.0487,88.2,82.8,
46,0,1.0,0.0599,88.2,82.8,
47,0,1.1,0.0733,88.2,82.8,
46,0,1.0,0.0929,88.2,82.8,
48,0,1.1,0.116,88.3,82.8,
47,0,1.1,0.146,88.3,82.8,
47,0,1.0,0.198,88.4,82.8,
47,0,1.1,0.253,88.4,82.8,
47,0,1.1,0.31,88.5,82.8,
48,0,1.0,0.378,88.5,82.8,
48,0,1.1,0.534,88.5,82.8,
48,0,1.1,0.709,88.5,82.8,
48,0,1.0,0.869,88.5,82.8,
49,0,1.1,1.05,88.5,82.8,
47,0,1.0,1.27,88.5,82.8,
48,0,1.1,1.52,88.5,82.8,
48,0,1.1,1.59,88.5,82.8,
49,0,1.0,1.8,88.5,82.8,
49,0,1.1,1.97,88.5,82.8,
47,0,1.1,2.18,88.5,82.8,
47,0,1.0,2.43,88.5,82.8,
48,0,1.1,2.61,88.5,82.8,
49,0,1.1,2.75,88.5,82.8,
