Date,Type,Name,Start,End,Duration
6/3/14,place,Home,2014-06-03T01:02:31-07:00,2014-06-03T15:22:42-07:00,51611
6/3/14,move,cycling,2014-06-03T15:22:42-07:00,2014-06-03T15:28:54-07:00,372
6/3/14,place,Herbivore,2014-06-03T15:28:54-07:00,2014-06-03T16:11:48-07:00,2574
6/3/14,move,walking,2014-06-03T16:11:48-07:00,2014-06-03T16:14:26-07:00,158
6/3/14,move,transport,2014-06-03T16:14:26-07:00,2014-06-03T16:19:56-07:00,330
6/3/14,move,walking,2014-06-03T16:19:56-07:00,2014-06-03T16:22:04-07:00,128
6/3/14,place,School of Information,2014-06-03T16:22:05-07:00,2014-06-03T21:01:43-07:00,16778
6/3/14,move,transport,2014-06-03T21:01:43-07:00,2014-06-03T21:04:35-07:00,172
6/3/14,move,walking,2014-06-03T21:04:35-07:00,2014-06-03T21:06:38-07:00,123
6/3/14,place,Recreational Sports Facility (RSF),2014-06-03T21:06:38-07:00,2014-06-03T22:59:18-07:00,6760
6/3/14,move,transport,2014-06-03T22:59:18-07:00,2014-06-03T23:01:47-07:00,149
6/3/14,move,cycling,2014-06-03T23:01:47-07:00,2014-06-03T23:04:17-07:00,150
6/3/14,place,Bangkok Noodles & Thai BBQ,2014-06-03T23:04:17-07:00,2014-06-03T23:49:00-07:00,2683
6/3/14,move,cycling,2014-06-03T23:49:00-07:00,2014-06-03T23:53:40-07:00,280
6/3/14,place,Home,2014-06-03T23:53:40-07:00,2014-06-04T00:00:00-07:00,380
6/4/14,place,Home,2014-06-04T00:00:00-07:00,2014-06-04T15:21:13-07:00,55273
6/4/14,move,cycling,2014-06-04T15:21:13-07:00,2014-06-04T15:33:24-07:00,731
6/4/14,move,transport,2014-06-04T15:33:24-07:00,2014-06-04T16:12:00-07:00,2316
6/4/14,place,Home,2014-06-04T16:12:00-07:00,2014-06-04T17:11:50-07:00,3590
6/4/14,move,transport,2014-06-04T17:11:50-07:00,2014-06-04T17:17:59-07:00,369
6/4/14,place,Berkeley Bowl West,2014-06-04T17:17:59-07:00,2014-06-04T18:22:08-07:00,3849
6/4/14,move,transport,2014-06-04T18:22:08-07:00,2014-06-04T18:28:31-07:00,383
6/4/14,move,walking,2014-06-04T18:28:31-07:00,2014-06-04T18:30:33-07:00,122
6/4/14,place,Home,2014-06-04T18:30:33-07:00,2014-06-04T22:59:32-07:00,16139
