Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
6/3/14,walking,walking,2014-06-03T15:15:13-07:00,2014-06-03T15:16:43-07:00,90,0.044,141,0
6/3/14,cycling,cycling,2014-06-03T15:22:42-07:00,2014-06-03T15:28:54-07:00,372,0.936,0,0
6/3/14,walking,walking,2014-06-03T15:32:39-07:00,2014-06-03T15:34:19-07:00,100,0.048,153,0
6/3/14,walking,walking,2014-06-03T16:04:21-07:00,2014-06-03T16:05:21-07:00,60,0.029,92,0
6/3/14,walking,walking,2014-06-03T16:11:48-07:00,2014-06-03T16:14:26-07:00,158,0.118,158,0
6/3/14,transport,transport,2014-06-03T16:14:26-07:00,2014-06-03T16:19:56-07:00,330,0.638,0,0
6/3/14,walking,walking,2014-06-03T16:19:56-07:00,2014-06-03T16:22:04-07:00,128,0.064,207,0
6/3/14,walking,walking,2014-06-03T17:16:40-07:00,2014-06-03T17:20:10-07:00,210,0.147,315,0
6/3/14,walking,walking,2014-06-03T19:07:43-07:00,2014-06-03T19:10:13-07:00,150,0.119,254,0
6/3/14,walking,walking,2014-06-03T20:59:05-07:00,2014-06-03T21:00:36-07:00,91,0.053,172,0
6/3/14,transport,transport,2014-06-03T21:01:43-07:00,2014-06-03T21:04:35-07:00,172,0.360,0,0
6/3/14,walking,walking,2014-06-03T21:04:35-07:00,2014-06-03T21:06:38-07:00,123,0.068,219,0
6/3/14,walking,walking,2014-06-03T22:53:46-07:00,2014-06-03T22:56:46-07:00,180,0.152,326,0
6/3/14,transport,transport,2014-06-03T22:59:18-07:00,2014-06-03T23:01:47-07:00,149,0.374,0,0
6/3/14,cycling,cycling,2014-06-03T23:01:47-07:00,2014-06-03T23:04:17-07:00,150,0.318,0,0
6/3/14,walking,walking,2014-06-03T23:04:17-07:00,2014-06-03T23:04:47-07:00,30,0.019,61,0
6/3/14,cycling,cycling,2014-06-03T23:49:00-07:00,2014-06-03T23:53:40-07:00,280,1.237,0,0
6/3/14,walking,walking,2014-06-03T23:54:37-07:00,2014-06-03T23:55:07-07:00,30,0.012,41,0
6/4/14,walking,walking,2014-06-04T00:28:43-07:00,2014-06-04T00:29:13-07:00,30,0.009,30,0
6/4/14,walking,walking,2014-06-04T01:21:33-07:00,2014-06-04T01:22:03-07:00,30,0.009,30,0
6/4/14,walking,walking,2014-06-04T14:24:52-07:00,2014-06-04T14:25:22-07:00,30,0.012,41,0
6/4/14,walking,walking,2014-06-04T15:05:29-07:00,2014-06-04T15:07:49-07:00,140,0.083,179,0
6/4/14,cycling,cycling,2014-06-04T15:21:13-07:00,2014-06-04T15:33:24-07:00,731,2.549,0,0
6/4/14,transport,transport,2014-06-04T15:33:24-07:00,2014-06-04T16:12:00-07:00,2316,7.655,0,0
6/4/14,walking,walking,2014-06-04T16:12:53-07:00,2014-06-04T16:13:23-07:00,30,0.019,60,0
6/4/14,transport,transport,2014-06-04T17:11:50-07:00,2014-06-04T17:17:59-07:00,369,1.350,0,0
6/4/14,walking,walking,2014-06-04T17:18:59-07:00,2014-06-04T17:27:59-07:00,540,0.252,539,0
6/4/14,walking,walking,2014-06-04T18:04:30-07:00,2014-06-04T18:08:00-07:00,210,0.142,305,0
6/4/14,transport,transport,2014-06-04T18:22:08-07:00,2014-06-04T18:28:31-07:00,383,1.379,0,0
6/4/14,walking,walking,2014-06-04T18:28:31-07:00,2014-06-04T18:30:33-07:00,122,0.064,206,0
6/4/14,walking,walking,2014-06-04T18:41:32-07:00,2014-06-04T18:42:32-07:00,60,0.032,102,0
6/4/14,walking,walking,2014-06-04T22:21:18-07:00,2014-06-04T22:21:48-07:00,30,0.009,20,0
