name,air_temp,skin_temp,calories,gsr,heart_rate,steps
0,80.6,84.4,1.4,0.00115,62,0
1,80.6,84.4,1.8,0.00121,58,0
2,80.3,84.4,1.8,0.00121,73,0
3,80.2,84.5,1.8,0.00128,72,0
4,80.2,84.4,1.3,0.00122,63,0
5,80.2,84.4,1.7,0.00128,60,0
6,80.2,84.4,1.6,0.00136,58,0
7,80.2,84.4,1.9,0.00137,64,0
8,80.2,84.4,1.8,0.00144,61,0
9,80.2,84.5,1.8,0.00145,60,0
10,79.8,84.5,1.6,0.00144,60,0
11,79.7,84.4,1.6,0.00157,58,0
12,79.4,84.3,1.9,0.0016,56,0
13,79.2,84.4,1.8,0.00169,58,0
14,79.2,84.4,1.9,0.00172,59,0
15,79.2,84.4,1.8,0.00171,61,0
16,79.2,84.4,1.5,0.0017,59,0
17,79.2,84.3,1.7,0.0017,57,0
18,79.2,84.2,1.7,0.0019,59,0
19,79.2,84.2,1.7,0.00182,60,0
20,79.2,84.2,1.9,0.00173,57,0
21,78.9,84.2,1.3,0.000798,56,0
22,78.8,84.1,1.8,0.00117,56,0
23,78.8,83.9,1.4,0.00127,53,0
24,78.8,83.8,1.6,0.00135,58,0
25,79.1,83.8,1.7,0.00158,62,0
26,78.9,83.7,1.5,0.00167,73,0
27,78.8,83.5,1.5,0.00167,66,0
28,78.8,83.5,1.8,0.0016,56,0
29,79.1,83.7,1.7,0.00176,62,0
30,79.2,83.8,1.7,0.0017,66,0
31,79.2,83.9,1.5,0.00193,62,0
32,79.2,83.8,1.1,0.00215,61,0
33,79.6,83.8,1.3,0.00216,59,0
34,79.7,83.9,1.5,0.00216,62,0
35,79.7,83.9,1.6,0.00225,62,0
36,79.7,84.1,1.5,0.00211,60,0
37,79.7,84.0,1.4,0.0023,60,0
38,79.7,84.0,1.4,0.00241,60,0
39,79.7,84.1,1.7,0.00235,59,0
40,79.7,84.1,1.4,0.00254,60,0
41,79.7,84.0,1.2,0.00229,62,0
42,79.7,84.0,1.4,0.00223,58,0
43,79.7,83.9,1.6,0.00246,64,0
44,79.7,84.1,2.0,0.00229,58,0
45,79.7,84.5,1.6,0.000938,59,0
46,79.7,84.3,2.2,0.000917,56,0
47,79.7,84.2,2.7,0.000876,-10,11
48,79.4,84.2,2.2,0.00075,-10,0
49,79.9,84.0,1.4,0.000889,56,0
50,80.8,84.2,1.5,0.000885,53,0
51,81.7,84.2,1.5,0.000816,54,0
52,82.6,84.3,1.2,0.00101,53,0
53,83.2,84.6,1.7,0.0011,47,0
54,83.6,84.9,1.6,0.00121,52,0
55,84.1,84.9,1.2,0.000977,59,0
56,84.2,84.9,1.1,0.000979,50,0
57,84.5,84.9,1.3,0.000985,50,0
58,84.7,84.9,1.2,0.000996,53,0
59,84.7,84.9,1.1,0.00141,50,0
60,85.0,85.1,2.1,0.000943,51,0
61,84.2,85.3,1.7,0.000742,65,0
62,83.4,85.5,1.1,0.000774,57,0
63,83.6,85.7,1.1,0.000748,52,0
64,83.8,86.1,1.1,0.000773,51,0
65,84.1,86.4,1.0,0.0008,47,0
66,84.5,86.6,1.1,0.000801,48,0
67,85.0,86.9,1.1,0.000822,48,0
68,85.1,87.1,1.0,0.000801,52,0
69,85.4,87.3,1.1,0.00084,51,0
70,85.6,87.5,1.0,0.000817,52,0
71,85.6,87.6,1.1,0.000871,52,0
72,85.9,87.8,1.0,0.00087,53,0
73,86.0,88.0,1.1,0.00093,54,0
74,86.0,88.2,1.2,0.00088,52,0
75,86.0,88.2,1.0,0.000806,52,0
76,86.0,88.2,0.9,0.000863,52,0
77,85.7,88.0,1.0,0.000855,52,0
78,85.2,88.0,1.0,0.000857,53,0
79,85.1,88.0,0.9,0.000853,53,0
80,84.8,88.0,1.0,0.000894,53,0
81,84.3,88.0,1.0,0.000891,53,0
82,84.2,88.0,0.9,0.000901,53,0
83,84.2,87.9,1.6,0.000915,53,0
84,84.2,87.8,1.0,0.000871,49,0
85,84.5,87.8,1.1,0.000874,49,0
86,85.0,88.0,1.1,0.000884,50,0
87,85.1,88.2,1.0,0.000902,50,0
88,85.4,88.5,1.1,0.000924,49,0
89,85.9,88.7,1.0,0.000932,50,0
90,86.0,88.9,0.9,0.00101,51,0
91,86.3,89.2,1.1,0.000958,51,0
92,86.5,89.5,1.2,0.00103,50,0
93,86.8,89.4,1.4,0.000788,51,0
94,86.9,89.5,1.1,0.000802,50,0
95,86.9,89.6,1.0,0.000856,48,0
96,87.2,89.8,1.1,0.000846,50,0
97,87.3,89.9,1.1,0.000823,52,0
98,87.3,90.0,1.0,0.000832,51,0
99,87.7,90.3,1.1,0.00086,53,0
100,87.8,90.4,1.0,0.000865,53,0
101,87.8,90.7,1.2,0.000841,53,0
102,88.1,91.1,1.1,0.000826,52,0
103,88.6,91.4,1.1,0.00085,52,0
104,88.7,91.5,1.1,0.000833,53,0
105,89.0,91.7,1.0,0.00086,53,0
106,89.2,91.9,1.1,0.000894,54,0
107,89.5,92.1,1.1,0.000918,53,0
108,89.6,92.3,1.1,0.000898,53,0
109,89.9,92.4,1.0,0.00094,54,0
110,90.1,92.6,1.1,0.000934,55,0
111,90.4,92.8,1.1,0.000964,56,0
